Comment,Description,Designator,Manufacturer 1,Quantity,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1

"CC0805KKX5R5BB106","CAP 10µF 10% 6.3V X5R 0805","C1, C10, C12","Yageo","3","Digi-Key","311-1459-1-ND","0.21"
"CC0603KRX7R9BB104","CAP 0.1µF 10% 50V X7R 0603","C2, C3, C8, C9, C11","Yageo","5","Digi-Key","311-1344-1-ND","0.14"
"CC0603JRNPO9BN120","CAP 12pF 5% 50V C0G,NP0 0603","C4, C5","Yageo","2","Digi-Key","311-1059-1-ND","0.14"
"CC0603JRNPO0BN470","CAP 47pF 5% 100V C0G,NP0 0603","C6, C7","Yageo","2","Digi-Key","311-1761-1-ND","0.14"
"LG R971-KN-1","CHIPLED 0805 Green","D1, D2","OSRAM Opto Semiconductors Inc","2","Digi-Key","475-1410-1-ND","0.11"
"LS R976-NR-1","CHIPLED 0805 Red","D3","OSRAM Opto Semiconductors Inc","1","Digi-Key","475-1278-1-ND","0.13"
"MF-MSMF050","PTC Resettable Fuse 0.50A","F1","Bourns Inc.","1","Digi-Key","MF-MSMF050-2CT-ND","0.31"
"282836-2","Terminal Block 2-pos Side Entry 5mm","J1","TE Connectivity AMP Connectors","1","Digi-Key","A98076-ND","0.71"
"ISP6PIN","AVR ISP 2.54mm Header 2x3-Pin","J2","Harwin Inc","1","Digi-Key","952-2121-ND","0.32"
"067503-1020","USB Mini-B","J3","Molex Inc","1","Digi-Key","WM5461CT-ND","1.58"
"M20-9990246","2.54mm Header Jumper","JP1","Harwin Inc","1","Digi-Key","952-2262-ND","0.15"
"RC3216F60R4CS","RES 60R4 1% 0.25W 1206","R1, R2","Samsung Electro-Mechanics America, Inc","2","Digi-Key","1276-5663-1-ND","0.15"
"RC0603FR-0710KL","RES 0.1W 10K 1% 0603","R3","Yageo","1","Digi-Key","311-10.0KHRCT-ND","0.15"
"RC0603FR-07100RL","RES 0.1W 100R 1% 0603","R4, R5, R8","Yageo","3","Digi-Key","311-100HRCT-ND","0.15"
"RC0603FR-0727RL","RES 0.1W 27R 1% 0603","R6, R7","Yageo","2","Digi-Key","311-27.0HRCT-ND","0.15"
"ATMEGA16M1","ATmega16M1 microcontroller","U1","Atmel","1","Digi-Key","ATMEGA16M1-AU-ND","6.35"
"SN65HVD232","CAN transceiver","U2","Texas Instruments","1","Digi-Key","296-26344-1-ND","2.81"
"FT230XS","USB-RS232 Bridge 16-SSOP","U3","FTDI, Future Technology Devices International Ltd","1","Digi-Key","768-1135-1-ND","3.33"
"LD1117S33TR","LDO 3.3V 0.8A SOT223","U4","STMicroelectronics","1","Digi-Key","497-1242-1-ND","0.71"
"7A-16.000MAAE-T","SMD Crystal Oscillator 12 pF","X1","TXC CORPORATION","1","Digi-Key","887-1747-1-ND","1.07"
